timestamp,U1,V1,W1
0,47.47,47.18,325.89
13,47.47,47.18,325.57
25,47.56,47.18,325.89
37,47.56,47.28,326.20
49,47.56,47.28,325.89
61,47.56,47.18,326.20
73,47.56,47.18,325.89
85,47.56,47.28,325.89
97,47.56,47.18,326.20
109,47.56,47.28,325.89
121,47.56,47.28,325.89
133,47.56,47.18,325.89
145,47.56,47.28,325.89
157,47.56,47.28,326.20
169,47.56,47.28,326.20
181,47.56,47.28,326.20
193,47.56,47.28,326.20
205,47.56,47.28,326.20
217,47.56,47.28,326.20
229,47.56,47.18,326.20
241,47.56,47.28,326.20
253,47.65,47.18,325.89
265,47.65,47.28,326.20
277,47.56,47.28,326.20
289,47.56,47.28,325.89
301,47.65,47.28,326.20
313,47.56,47.28,326.20
325,47.56,47.28,326.20
337,47.56,47.28,325.89
349,47.56,47.28,325.89
361,47.56,47.28,325.89
373,47.56,47.28,326.20
385,47.56,47.28,325.89
397,47.56,47.28,326.20
409,47.56,47.28,325.89
421,47.56,47.28,325.89
433,47.56,47.18,326.20
445,47.56,47.28,325.89
457,47.56,47.28,325.89
469,47.56,47.18,325.89
481,47.56,47.28,326.20
493,47.56,47.28,325.89
505,47.56,47.28,326.20
517,47.56,47.28,326.20
529,47.56,47.28,325.89
541,47.56,47.28,326.20
553,47.56,47.28,326.20
565,47.56,47.28,325.89
577,47.56,47.28,326.20
589,47.56,47.28,326.20
601,47.56,47.28,326.20
613,47.56,47.28,325.89
625,47.56,47.28,325.89
637,47.56,47.28,325.89
649,47.56,47.28,326.20
661,47.56,47.28,326.20
673,47.56,47.28,325.89
685,47.56,47.28,326.20
697,47.65,47.28,325.89
709,47.56,47.28,326.20
721,47.56,47.28,326.20
733,47.56,47.28,325.89
745,47.56,47.28,326.20
757,47.56,47.28,325.89
769,47.56,47.18,325.89
781,47.56,47.28,326.20
793,47.56,47.28,325.89
805,47.65,47.28,325.89
817,47.56,47.28,325.89
829,47.56,47.28,325.89
841,47.56,47.18,325.89
853,47.56,47.28,325.89
865,47.56,47.28,326.20
877,47.56,47.28,326.20
889,47.56,47.28,325.89
901,47.56,47.28,326.20
913,47.65,47.28,326.20
925,47.56,47.28,325.89
937,47.56,47.28,325.89
949,47.65,47.28,325.89
961,47.56,47.28,326.20
973,47.65,47.28,326.20
985,47.56,47.18,326.20
997,47.56,47.28,326.20
1009,47.56,47.18,326.20
1021,47.56,47.28,325.89
1033,47.65,47.28,326.20
1045,47.56,47.28,326.20
1057,47.56,47.28,326.20
1069,47.56,47.28,325.89
1081,47.56,47.18,325.89
1093,47.56,47.28,326.20
1105,47.56,47.28,326.20
1117,47.56,47.28,326.20
1129,47.56,47.28,326.20
1141,47.56,47.28,326.20
1153,47.56,47.28,326.20
1165,47.56,47.28,326.20
1177,47.65,47.28,326.20
1189,47.56,47.28,326.20
1201,47.56,47.28,326.20
1213,47.56,47.28,326.20
1225,47.56,47.28,326.20
1237,47.65,47.28,326.20
1249,47.56,47.28,326.20
1261,47.65,47.28,326.20
1273,47.65,47.28,325.89
1285,47.65,47.28,325.89
1297,47.56,47.28,326.20
1309,47.65,47.28,326.52
1321,47.56,47.28,326.20
1333,47.56,47.28,326.20
1345,47.65,47.28,326.20
1357,47.56,47.28,325.89
1369,47.56,47.28,325.89
1381,47.56,47.28,325.89
1393,47.56,47.28,326.20
1405,47.56,47.28,325.89
1417,47.65,47.28,325.89
1429,47.56,47.28,326.20
1441,47.56,47.28,325.89
1453,47.47,47.18,325.89
1465,47.56,47.28,325.89
1477,47.56,47.28,325.89
1489,47.56,47.28,326.20
1501,47.56,47.28,326.20
1513,47.56,47.28,325.89
1525,47.56,47.28,325.89
1537,47.56,47.28,326.20
1549,47.56,47.28,325.89
1561,47.56,47.28,325.89
1573,47.56,47.28,325.89
1585,47.56,47.28,325.89
1597,47.56,47.28,326.20
1609,47.56,47.28,326.20
1621,47.56,47.28,326.20
1633,47.56,47.28,326.20
1645,47.56,47.28,326.20
1657,47.56,47.28,325.89
1669,47.65,47.28,325.89
1681,47.56,47.28,326.20
1693,47.65,47.28,326.20
1705,47.56,47.28,325.89
1717,47.56,47.28,326.20
1729,47.56,47.28,325.89
1741,47.56,47.28,326.20
1753,47.56,47.28,326.20
1765,47.65,47.28,325.89
1777,47.56,47.18,326.20
1789,47.56,47.28,325.89
1801,47.56,47.28,326.20
1813,47.56,47.18,326.20
1825,47.65,47.28,326.20
1837,47.56,47.28,325.89
1849,47.56,47.28,326.20
1861,47.56,47.28,326.20
1873,47.56,47.28,326.20
1885,47.56,47.28,326.20
1897,47.56,47.28,326.20
1909,47.56,47.28,326.20
1921,47.56,47.28,325.89
1933,47.56,47.28,326.20
1945,47.65,47.28,326.20
1957,47.56,47.28,326.20
1969,47.65,47.28,325.89
1981,47.65,47.28,326.20
1993,47.56,47.28,326.20
2005,47.56,47.28,326.20
2017,47.65,47.28,326.20
2029,47.56,47.28,326.20
2041,47.56,47.28,325.89
2053,47.56,47.28,325.89
