timestamp,U1,V1,W1
0,1.43,47.00,47.09
13,1.43,47.00,47.09
25,1.43,47.00,47.09
37,1.43,47.00,47.09
49,1.43,47.00,47.09
61,1.43,47.00,47.09
73,1.43,47.00,47.09
85,1.43,47.00,47.09
97,1.43,47.00,47.09
109,1.43,47.00,47.09
121,1.43,47.00,47.09
133,1.43,47.00,47.18
145,1.43,47.00,47.09
157,1.43,47.00,47.09
169,1.43,47.00,47.09
181,1.43,47.00,47.09
193,1.43,46.90,47.09
205,1.43,47.00,47.18
217,1.43,47.00,47.09
229,1.43,47.00,47.09
241,1.43,47.00,47.09
253,1.43,47.00,47.09
265,1.43,47.00,47.18
277,1.43,47.00,47.09
289,1.43,47.09,47.18
301,1.43,47.09,47.18
313,1.43,47.00,47.09
325,1.43,47.00,47.18
337,1.43,47.00,47.09
349,1.43,47.00,47.09
361,1.43,47.00,47.18
373,1.43,47.00,47.18
385,1.43,47.00,47.18
397,1.43,47.00,47.18
409,1.43,47.00,47.18
421,1.43,47.00,47.09
433,1.43,47.00,47.09
445,1.43,47.09,47.18
457,1.43,47.00,47.09
469,1.43,47.00,47.09
481,1.43,47.00,47.09
493,1.43,47.00,47.09
505,1.43,47.00,47.18
517,1.43,47.00,47.09
529,1.43,47.00,47.09
541,1.43,47.00,47.18
553,1.43,47.00,47.09
565,1.43,47.00,47.18
577,1.43,47.00,47.09
589,1.43,47.00,47.18
601,1.43,47.00,47.09
613,1.43,47.00,47.09
625,1.43,47.00,47.18
637,1.43,47.09,47.18
649,1.43,47.00,47.18
661,1.43,47.09,47.09
673,1.43,47.09,47.09
685,1.43,47.00,47.09
697,1.43,47.00,47.18
709,1.43,47.00,47.09
721,1.43,47.00,47.18
733,1.43,47.09,47.18
745,1.43,47.09,47.09
757,1.43,47.00,47.18
769,1.43,47.00,47.18
781,1.43,47.00,47.18
793,1.43,47.00,47.09
805,1.43,47.09,47.09
817,1.43,47.00,47.18
829,1.43,47.09,47.09
841,1.43,47.00,47.18
853,1.43,47.00,47.09
865,1.43,47.00,47.09
877,1.43,47.00,47.09
889,1.43,47.09,47.18
901,1.43,47.00,47.18
913,1.43,47.00,47.18
925,1.43,47.00,47.09
937,1.43,47.00,47.09
949,1.43,47.00,47.09
961,1.43,47.09,47.18
973,1.43,47.00,47.09
985,1.43,47.00,47.18
997,1.43,47.00,47.09
1009,1.43,47.00,47.18
1021,1.43,47.00,47.18
1033,1.43,47.00,47.18
1045,1.43,47.09,47.18
1057,1.43,47.00,47.18
1069,1.43,47.09,47.18
1081,1.43,47.00,47.18
1093,1.43,47.00,47.18
1105,1.43,47.09,47.09
1117,1.43,47.00,47.18
1129,1.43,47.00,47.09
1141,1.43,47.00,47.09
1153,1.43,47.09,47.09
1165,1.43,47.00,47.18
1177,1.43,47.00,47.09
1189,1.43,47.00,47.18
1201,1.43,47.00,47.18
1213,1.43,47.00,47.09
1225,1.43,47.00,47.09
1237,1.43,47.00,47.18
1249,1.43,47.00,47.09
1261,1.43,47.00,47.09
1273,1.43,47.00,47.09
1285,1.43,46.90,47.09
